id_investigador,id_proyecto,rol_en_proyecto,dedicacion_horaria_semanal
14,101,Director,15
12,101,Auditor,10
7,101,Integrante,15
13,101,Co-Director,10
1,102,Director,15
12,102,Integrante,10
7,102,Becario,5
8,102,Co-Director,10
7,103,Director,20
4,103,Becario,5
2,103,Co-Director,15
5,104,Director,15
9,104,Becario,5
3,104,Becario,10
6,104,Auditor,15
10,104,Co-Director,15
14,105,Director,20
12,105,Co-Director,10
3,106,Director,20
8,106,Auditor,15
2,106,Auditor,10
7,106,Auditor,15
5,106,Co-Director,5
3,107,Director,20
11,107,Co-Director,5
6,108,Director,20
9,108,Co-Director,15
2,109,Director,20
9,109,Auditor,5
3,110,Director,25
11,110,Co-Director,5
2,110,Integrante,15
13,110,Auditor,15
13,111,Director,20
14,111,Becario,15
11,112,Director,20
1,112,Co-Director,15
5,112,Becario,15
10,113,Director,25
1,113,Integrante,15
15,114,Director,15
13,114,Co-Director,5
2,114,Integrante,10
8,115,Director,25
14,115,Auditor,5
9,115,Co-Director,15
6,115,Integrante,5
12,115,Co-Director,15
10,116,Director,25
7,116,Integrante,15
6,116,Becario,15
5,116,Becario,15
1,116,Auditor,5
8,117,Director,25
3,117,Auditor,10
6,117,Becario,15
2,118,Director,25
8,118,Becario,5
13,118,Co-Director,10
3,118,Integrante,10
9,119,Director,15
1,119,Becario,10
6,119,Becario,5
15,119,Integrante,15
10,119,Auditor,15
14,120,Director,15
2,120,Auditor,5
1,120,Auditor,5
2,121,Director,25
11,121,Integrante,10
5,122,Director,20
8,122,Integrante,10
3,122,Co-Director,15
2,122,Auditor,10
7,122,Co-Director,10
6,123,Director,25
1,123,Integrante,5
13,123,Integrante,5
5,123,Integrante,10
11,124,Director,25
14,124,Integrante,10
2,125,Director,20
4,125,Becario,10
15,125,Becario,5
9,125,Auditor,5
12,125,Becario,5
11,126,Director,15
10,126,Auditor,5
14,127,Director,25
10,127,Co-Director,5
3,128,Director,20
10,128,Auditor,5
7,128,Auditor,5
13,128,Integrante,15
14,128,Auditor,5
15,129,Director,25
9,129,Co-Director,10
3,130,Director,25
8,130,Auditor,5
7,130,Becario,5
15,130,Integrante,10
5,130,Becario,5
15,131,Director,20
6,131,Auditor,5
9,131,Co-Director,10
4,132,Director,25
9,132,Auditor,10
3,133,Director,25
12,133,Co-Director,10
14,134,Director,15
8,134,Auditor,10
9,135,Director,25
6,135,Auditor,15
